Player,Team,Amount,Year
Chirag Suri,Gujarat Lions,1000000.0,2017.0
Chris Green,Kolkata Knight Riders,2000000.0,2020.0
Chris Jordan,Sunrisers Hyderabad,5000000.0,2017.0
Chris Jordan,Sunrisers Hyderabad,10000000.0,2018.0
Chris Jordan,Kings XI Punjab,30000000.0,2020.0
Chris Jordan,Chennai Super Kings,36000000.0,2022.0
Chris Lynn,Kolkata Knight Riders,13000000.0,2014.0
Chris Lynn,Kolkata Knight Riders,96000000.0,2018.0
Chris Lynn,Mumbai Indians,20000000.0,2020.0
Chris Woakes,Kolkata Knight Riders,42000000.0,2017.0
Chris Woakes,Royal Challengers Bangalore,74000000.0,2018.0
Chris Woakes,Delhi Capitals,15000000.0,2020.0
Christopher Barnwell,Royal Challengers Bangalore,3750000.0,2013.0
Christopher Gayle,Kings XI Punjab,20000000.0,2018.0
Christopher Morris,Chennai Super Kings,46875000.0,2013.0
Christopher Morris,Rajasthan Royals,14000000.0,2015.0
Christopher Morris,Delhi Daredevils,70000000.0,2016.0
Christopher Morris,Royal Challengers Bangalore,100000000.0,2020.0
Christopher Morris,Rajasthan Royals,162500000.0,2021.0
Clinton McKay,Sunrisers Hyderabad,7500000.0,2013.0
Colin De Grandhomme,Royal Challengers Bangalore,22000000.0,2018.0
Colin Ingram,Delhi Capitals,64000000.0,2019.0
Colin Munro,Kolkata Knight Riders,3000000.0,2016.0
Colin Munro,Delhi Daredevils,19000000.0,2018.0
Corey Anderson,Mumbai Indians,45000000.0,2014.0
